seq_beneficiario;dat_inicio_direito;des_categoria;desc_entidade;val_cargo;val_redutor_teto;nom_municipio;sgl_uf;dat_requerimento;dat_doc_completa;dat_deferimento;mes_deferimento;dias_uteis_concessao
189018;2024-12-08;CONJUGE;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;2068,53;2068,53;BELO HORIZONTE;MG;2024-12-23;2024-12-30;2025-01-02;Janeiro/2025;4
189028;2024-11-18;CONJUGE;SECRETARIA DA EDUCACAO;2624,35;2624,35;UBERLANDIA;MG;2024-12-02;2024-12-18;2025-01-02;Janeiro/2025;12
189021;2024-12-14;CONJUGE;SECRETARIA DE SAUDE;6451,38;6451,38;ALFENAS;MG;2024-12-27;2025-01-02;2025-01-02;Janeiro/2025;1
189013;2024-12-23;FILHO(A) LC 64/2002;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;4999,91;4999,91;PIRANGA;MG;2024-12-23;2024-12-30;2025-01-02;Janeiro/2025;4
188961;2025-01-02;FILHO(A) INVALIDO(A);SECRETARIA DA FAZENDA;38087,97;7640,4;VARGINHA;MG;2024-06-07;2024-12-18;2025-01-02;Janeiro/2025;12
189003;2024-12-18;CONJUGE;SECRETARIA DA EDUCACAO;1937,01;1937,01;IGUATAMA;MG;2024-12-18;2024-12-26;2025-01-02;Janeiro/2025;6
189004;2024-11-13;CONJUGE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;1793,53;1793,53;MONTES CLAROS;MG;2024-12-18;2024-12-26;2025-01-02;Janeiro/2025;6
189014;2024-12-09;CONJUGE;POLICIA CIVIL;26999,03;26999,03;BELO HORIZONTE;MG;2024-12-23;2024-12-30;2025-01-02;Janeiro/2025;4
189029;2024-11-08;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;9704,42;9704,42;BELO HORIZONTE;MG;2024-11-18;2024-11-22;2025-01-02;Janeiro/2025;30
189017;2024-11-25;CONJUGE;SECRETARIA DA EDUCACAO;996,41;1518,0;LAVRAS;MG;2024-12-05;2024-12-30;2025-01-02;Janeiro/2025;4
189006;2024-11-02;CONJUGE;SECRETARIA DA EDUCACAO;1307,4;1518,0;BELO HORIZONTE;MG;2024-12-10;2024-12-26;2025-01-02;Janeiro/2025;6
189012;2024-12-23;CONJUGE;SECRETARIA DA EDUCACAO;1979,48;1979,48;SABARA;MG;2024-12-23;2024-12-30;2025-01-02;Janeiro/2025;4
189023;2024-12-18;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;1019,44;1518,0;OURO PRETO;MG;2024-12-18;2024-12-19;2025-01-02;Janeiro/2025;11
189040;2024-11-14;CONJUGE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;1721,95;1721,95;LAVRAS;MG;2024-12-20;2025-01-02;2025-01-03;Janeiro/2025;2
189008;2024-12-01;CONJUGE;SECRETARIA DA EDUCACAO;1515,62;1518,0;SANTO ANTONIO DO ITAMBE;MG;2024-12-17;2024-12-19;2025-01-03;Janeiro/2025;12
189032;2024-12-10;CONJUGE;SECRETARIA DA EDUCACAO;3139,49;3139,49;ITAJUBA;MG;2024-12-18;2024-12-20;2025-01-03;Janeiro/2025;11
189033;2024-09-29;FILHO(A) LC 64/2002;SECRETARIA DE ESTADO DE EDUCACAO;2829,1;2829,1;BURITIS;MG;2024-12-19;2024-12-30;2025-01-03;Janeiro/2025;5
189034;2024-11-23;CONJUGE;SECRETARIA DA EDUCACAO;2837,3;2837,3;CONGONHAS;MG;2024-12-27;2025-01-02;2025-01-03;Janeiro/2025;2
189037;2024-11-07;CONJUGE;POLICIA CIVIL;7746,93;7746,93;BELO HORIZONTE;MG;2024-12-27;2025-01-02;2025-01-03;Janeiro/2025;2
189025;2024-10-06;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;1202,26;1518,0;BRAZOPOLIS;MG;2024-12-09;2024-12-30;2025-01-03;Janeiro/2025;5
189027;2024-12-14;CONJUGE;SECRETARIA DA EDUCACAO;1403,33;1518,0;ALMENARA;MG;2024-12-20;2024-12-27;2025-01-03;Janeiro/2025;6
189052;2024-12-13;CONJUGE;POLICIA CIVIL;19742,06;19742,06;ITABIRA;MG;2024-12-27;2025-01-06;2025-01-06;Janeiro/2025;1
